ID	Latin Name	Common Name	Part of plant	Dry or Fresh weight	Water	Calories	Protein	Fat	Carbohydrate	Fibre	Ash	Calcium	Phosphorus	Iron	Magnesium	Sodium	Potassium	Zinc	VitaminA	Thiamine	Riboflavin	Niacin	VitaminC	VitaminB6	Source	Notes
43	Brassica oleracea gongylodes	Kohl rabi	Stem	F	90.3	29	2	0.1	6.6	1	1	41	51	0.5		8	372		20	0.06	0.04	0.3	66		218	
44	Brassica rapa	Turnip	Leaves	D	0	2300	30	4	54	7	12	1600	1000	17			4500			30	2	8	500		218	
45	Brassica rapa	Turnip	Root	D	0	323	15.4	0	72.8	13.8	12.3	585	646	7.7						0.46	0.77		1154		218	
46	Brassica rapa	Turnip	Seed	D	0	450	24	20	50	17				6.9						0.58	0.43				218	
47	Brassica rapa chinensis	Pak choi	Leaves	D	0	350			25	14	12	1700	500	28		420	5100		25000	0.6	1.3	42	700		218	The figures given here are median figures from a fairly wide range that was given in the report.
48	Brassica rapa pekinensis	Chinese cabbage	Leaves	D	0	236	23.6	3.6	41.8	16.4	30.9	636	709	9.1											218	
49	Camellia sinensis	Tea plant	Leaves	D	0		25.7	6.5	40.8		5															
50	Canna edulis	Achira	Leaves	F			10																			
51	Canna edulis	Achira	Root	D	0		3		80																	
52	Cannabis sativa	Hemp	Seed	D	0	487	31.4	29.6	31.9	23.5	7.1	139	1123	13.9					518	0.37	0.2	2.43	0		218	
53	Capsella bursa-pastoris	Shepherd's purse	Leaves	D	0	280	35.6	4.2	44.1	10.2	16.1	1763	729	40.7			3939		21949	2.12	1.44	3.4	305		218	
54	Capsella bursa-pastoris	Shepherd's purse	Seed	F				35																		
